character;rank;LWO;rank_median;definition;pinyin;decomposition;radical;type;phonetic;semantic;freq1;freq2
莞;4260;;4260;to smile/ club-rush, Scirpus lacustris;guǎn;⿱艹完;艹;pictophonetic;完;艹;431;99,809342977
澹;4261;;4261;calm, quiet, tranquil;dàn;⿰氵詹;氵;pictophonetic;詹;氵;431;99,809565711
纭;4262;;4262;confused/ numerous;yún;⿰纟云;纟;pictophonetic;云;纟;431;99,809788446
潞;4263;;4263;a river in northern China;lù;⿰氵路;氵;pictophonetic;路;氵;430;99,810010663
郅;4264;;4264;to grow, to flourish/ superlative;zhì;⿰至阝;阝;pictophonetic;至;阝;429;99,810232364
弋;4265;448;2356;to catch, to arrest/ to shoot with a bow;yì;？;弋;pictographic;;;428;99,810453548
飕;4266;;4266;a chill breeze/ to blow/ the sound of the wind;sōu;⿺风叟;风;pictophonetic;叟;风;428;99,810674732
螳;4267;;4267;praying mantis;táng;⿰虫堂;虫;pictophonetic;堂;虫;428;99,810895916
胄;4268;;4268;helmet/ descendant;zhòu;⿱由⺼;⺼;pictographic;;;427;99,811116584
蟑;4269;;4269;cockroach;zhāng;⿰虫章;虫;pictophonetic;章;虫;427;99,811337251
猥;4270;;4270;vulgar, low/ wanton, obscene;wěi;⿰犭畏;犭;pictophonetic;畏;犭;426;99,811557401
宓;4271;1731;3001;quiet, silent, still/ in good health;mì;⿱宀必;宀;pictophonetic;必;宀;426;99,811777552
昙;4272;3835;4054;cloudy, overcast;tán;⿱日云;日;ideographic;;;426;99,811997702
锏;4273;;4273;rapier/ mace;jiǎn;⿰钅间;钅;pictophonetic;间;钅;426;99,812217853
蟠;4274;;4274;to occupy/ to coil/ curled up, coiled;pán;⿰虫番;虫;pictophonetic;番;虫;426;99,812438003
過;4275;;4275;pass/ to go across, to pass through;guò;⿺辶咼;辶;pictophonetic;咼;辶;426;99,812658154
柑;4276;3673;3974;tangerine, loose-skinned orange;gān;⿰木甘;木;ideographic;;;425;99,812877787
烯;4277;;4277;alkene;xī;⿰火希;火;pictophonetic;希;火;425;99,813097421
匐;4278;;4278;to crawl/ to lie prostrate;fú;⿹勹畐;勹;pictophonetic;畐;勹;425;99,813317055
濮;4279;;4279;a county in Henan province;pú;⿰氵僕;氵;pictophonetic;僕;氵;425;99,813536688
蟮;4280;;4280;earthworm;shàn;⿰虫善;虫;pictophonetic;善;虫;425;99,813756322
仄;4282;;4282;slanting, oblique/ oblique tones;zè;⿸厂人;人;ideographic;;;424;99,814194556
偈;4283;;4283;brave/ martial/ hasty/ scudding;jì;⿰亻曷;亻;;;;424;99,814413673
蜃;4284;;4284;clam/ sea serpent;shèn;⿸辰虫;虫;pictophonetic;辰;虫;424;99,81463279
箴;4285;;4285;needle, probe/ to admonish, to warn;zhēn;⿱⺮咸;⺮;pictophonetic;咸;⺮;424;99,814851907
粼;4286;;4286;clear, limpid (as of water);lín;⿰粦巛;米;pictophonetic;粦;巛;424;99,815071023
嗥;4287;;4287;to call out/ to roar, to bark/ to wail/ to yelp;háo;⿰口皋;口;pictophonetic;皋;口;423;99,815289624
褴;4288;;4288;ragged, tattered, threadbare;lán;⿰衤监;衤;pictophonetic;监;衤;423;99,815508224
蕨;4289;;4289;common bracken/ Pteris aquilina;jué;⿱艹厥;艹;pictophonetic;厥;艹;422;99,815726307
蓟;4290;;4290;cirsium, thistle/ surname;jì;⿱艹⿰鱼刂;艹;pictophonetic;鱼;艹;421;99,815943874
圩;4291;;4291;dike, embankment;wéi;⿰土于;土;pictophonetic;于;土;421;99,81616144
孪;4292;;4292;twins;luán;⿱亦子;子;ideographic;;;420;99,81637849
杳;4293;;4293;dark, mysterious, obscure/ deep;yǎo;⿱木日;木;ideographic;;;420;99,81659554
魇;4294;;4294;nightmare, bad dream;yǎn;⿸厌鬼;鬼;pictophonetic;厌;鬼;420;99,816812589
荤;4295;3747;4021;non-vegetarian food/ garlic/ a foul smell;hūn;⿱艹军;艹;pictophonetic;军;艹;419;99,817029122
诿;4296;;4296;to shirk, to pass the buck, to make excuses;wěi;⿰讠委;讠;pictophonetic;委;讠;419;99,817245655
簪;4297;;4297;hairpin, clasp/ to wear in the hair;zān;⿱⺮朁;⺮;pictophonetic;朁;⺮;419;99,817462188
氲;4298;;4298;prosperity/ the breath of life/ the spirit of harmony;yūn;⿹气昷;气;pictophonetic;昷;气;418;99,817678204
摞;4299;;4299;to pile up;luò;⿰扌累;扌;ideographic;;;417;99,817893704
飒;4300;3871;4086;bleak/ melancholy/ the howl of the wind;sà;⿰立风;风;pictophonetic;立;风;417;99,818109203
镂;4301;;4301;to inlay/ to engrave, to carve/ tattoo;lòu;⿰钅娄;钅;pictophonetic;娄;钅;417;99,818324703
舀;4302;1574;2938;to ladle out/ to scoop;yǎo;⿱爫臼;臼;ideographic;;;415;99,818539168
夙;4303;;4303;dawn, early in the morning/ previous/ long-held;sù;⿵几歹;夕;;;;415;99,818753634
臧;4304;1030;2667;good, right/ generous/ to command;zāng;⿵戕臣;臣;pictophonetic;戕;臣;413;99,818967067
蒿;4305;3901;4103;mugwort, wormwood, Artemisia/ to give off a scent;hāo;⿱艹高;艹;pictophonetic;高;艹;412;99,819179982
貂;4306;;4306;sable, mink, marten;diāo;⿰豸召;豸;pictophonetic;召;豸;412;99,819392898
蜥;4307;;4307;lizard;xī;⿰虫析;虫;pictophonetic;析;虫;411;99,819605296
蹩;4308;;4308;to limp;bié;⿱敝足;足;ideographic;;;411;99,819817695
噼;4309;;4309;onomatopoetic, the sound of something cracking;pī;⿰口辟;口;pictophonetic;辟;口;410;99,820029577
钛;4310;;4310;titanium;tài;⿰钅太;钅;pictophonetic;太;钅;410;99,820241459
钚;4311;;4311;plutonium;bù;⿰钅不;钅;pictophonetic;不;钅;409;99,820452824
獾;4312;;4312;badger;huān;⿰犭雚;犭;pictophonetic;雚;犭;408;99,820663672
濂;4313;;4313;a waterfall/ a river in Hunan;lián;⿰氵廉;氵;pictophonetic;廉;氵;408;99,82087452
铠;4314;;4314;armor, chain mail;kǎi;⿰钅岂;钅;pictophonetic;岂;钅;408;99,821085369
皙;4315;;4315;white/ a kind of date;xī;⿱析白;白;pictophonetic;析;白;408;99,821296217
霭;4316;;4316;fog, haze/ calm, peaceful;ǎi;⿱雨谒;雨;pictophonetic;谒;雨;408;99,821507066
鲈;4317;;4317;perch/ sea bass;lú;⿰鱼卢;鱼;pictophonetic;卢;鱼;408;99,821717914
叵;4318;;4318;cannot/ to be unable/ improbable/ thereupon;pǒ;⿷匚口;口;;;;407;99,821928245
霾;4319;;4319;fog, mist/ smoke, smog/ dust storm;mái;⿱雨貍;雨;pictophonetic;貍;雨;407;99,822138577
泯;4320;;4320;to destroy, to eliminate/ to perish;mǐn;⿰氵民;氵;pictophonetic;民;氵;406;99,822348392
碴;4321;3671;3996;quarrel/ fault/ a shard of glass;chá;⿰石查;石;pictophonetic;查;石;405;99,82255769
鸵;4322;3633;3978;ostrich;tuó;⿰鸟它;鸟;pictophonetic;它;鸟;405;99,822766988
峪;4323;;4323;valley, ravine;yù;⿰山谷;山;ideographic;;;404;99,822975769
饕;4324;;4324;gluttonous/ greedy, covetous;tāo;⿱號食;食;pictophonetic;號;食;403;99,823184033
瘁;4325;;4325;tired, worn-out/ sick/ overworked;cuì;⿸疒卒;疒;pictophonetic;卒;疒;402;99,823391781
睢;4326;;4326;to gaze at, to stare at/ uninhibited;suī;⿰目隹;目;pictophonetic;隹;目;402;99,823599529
鬃;4327;;4327;mane/ neck bristles;zōng;⿱髟宗;髟;pictophonetic;宗;髟;401;99,823806759
迩;4328;;4328;near, close/ recent;ěr;⿺辶尔;辶;pictophonetic;尔;辶;401;99,82401399
纣;4329;;4329;saddle strap, harness/ an emperor;zhòu;⿰纟寸;纟;pictophonetic;寸;纟;401;99,824221221
夔;4330;;4330;one-legged monster/ walrus;kuí;⿳？⿲止自巳夊;夊;ideographic;;;400;99,824427935
垠;4331;;4331;boundary, river bank;yín;⿰土艮;土;pictophonetic;艮;土;399;99,824634132
饨;4332;;4332;stuffed dumplings;tún;⿰饣屯;饣;pictophonetic;屯;饣;399;99,82484033
榭;4333;;4333;pavilion, kiosk;xiè;⿰木射;木;pictophonetic;射;木;399;99,825046527
隍;4334;;4334;dry ditch, dry moat;huáng;⿰阝皇;阝;pictophonetic;皇;阝;398;99,825252207
娑;4335;;4335;to dance, to frolic/ to lounge/ to saunter;suō;⿱沙女;女;pictophonetic;沙;女;398;99,825457888
篝;4336;;4336;bamboo basket/ bamboo frame;gōu;⿱⺮冓;⺮;pictophonetic;冓;⺮;398;99,825663568
榔;4337;3694;4016;betel-nut tree;láng;⿰木郎;木;pictophonetic;郎;木;397;99,825868732
洌;4338;;4338;clear, pure/ to cleanse;liè;⿰氵列;氵;pictophonetic;列;氵;397;99,826073896
浜;4339;;4339;creek, stream/ beach, coast;bāng;⿰氵兵;氵;pictophonetic;兵;氵;397;99,826279059
